Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,hasGarage,hasBasement,has2ndFlr,hasWoodDeck,hasOpenPorch
11,20,RL,4.2626798770413155,9.32375833901174,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,906,0,134,1040,GasA,Ex,Y,6.947937068614969,0,6.947937068614969,1,1,0,3,0.6931471805599453,TA,5,Typ,0,1,384,Y,0,0,0,2,2008,WD,Normal,11.771436160121729,1,1,1,1,1
12,60,RL,4.454347296253507,9.386392315756542,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,998,0,177,1175,GasA,Ex,Y,7.075808863978387,1142,7.751475318021456,1,3,0,4,0.6931471805599453,Ex,11,Typ,2,3,736,Y,147,21,0,7,2006,New,Partial,12.751299696013497,1,1,0,0,0
13,20,RL,4.2633832685897595,9.470317173335742,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,737,0,175,912,GasA,TA,Y,6.816735880594968,0,6.816735880594968,1,1,0,2,0.6931471805599453,TA,4,Typ,0,1,352,Y,140,0,0,9,2008,WD,Normal,11.877568578558138,1,1,1,0,1
14,20,RL,4.5217885770490405,9.273596821611198,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1494,1494,GasA,Ex,Y,7.3098814858247865,0,7.3098814858247865,0,2,0,3,0.6931471805599453,Gd,7,Typ,1,3,840,Y,160,33,0,8,2007,New,Partial,12.540757571577291,1,1,1,0,0
15,20,RL,4.2633832685897595,9.298442820197728,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,733,0,520,1253,GasA,TA,Y,7.134093721192866,0,7.134093721192866,1,1,1,2,0.6931471805599453,TA,5,Typ,1,1,352,Y,0,213,176,5,2008,WD,Normal,11.964001084330445,1,1,1,1,0
16,45,RM,3.9512437185814275,8.71948076085107,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,0,0,832,832,GasA,Ex,Y,6.75110146893676,0,6.75110146893676,0,1,0,2,0.6931471805599453,TA,5,Typ,0,2,576,Y,48,112,0,7,2007,WD,Normal,11.790557201568507,1,1,1,0,0
17,20,RL,4.2633832685897595,9.32741204356202,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,578,0,426,1004,GasA,Ex,Y,6.912742820493176,0,6.912742820493176,1,1,0,2,0.6931471805599453,TA,5,Typ,1,2,480,Y,0,0,0,3,2010,WD,Normal,11.911701584927597,1,1,1,1,1
18,90,RL,4.290459441148391,9.286560397887591,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0,0,0,0,GasA,TA,Y,7.167809184316444,0,7.167809184316444,0,2,0,2,1.0986122886681098,TA,6,Typ,0,2,516,Y,0,0,0,10,2006,WD,Normal,11.407564949312402,1,0,1,1,1
19,20,RL,4.204692619390966,9.524859098381523,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,646,0,468,1114,GasA,Ex,Y,7.016609683894219,0,7.016609683894219,1,1,1,3,0.6931471805599453,Gd,6,Typ,0,2,576,Y,0,102,0,6,2008,WD,Normal,11.976659481202368,1,1,1,1,0
20,20,RL,4.2626798770413155,8.93075873555827,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,7.200424892944957,0,7.200424892944957,0,1,0,3,0.6931471805599453,TA,6,Min1,0,1,294,Y,0,0,0,5,2009,COD,Abnorml,11.842229212112828,1,1,1,1,1
21,60,RL,4.624972813284271,9.562123369834488,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,7.055312843339752,1218,7.773594467360194,0,3,1,4,0.6931471805599453,Gd,9,Typ,1,3,853,Y,240,154,0,11,2006,New,Partial,12.692503112461443,1,1,0,0,0
22,45,RM,4.060443010546419,8.915969311373605,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,7.011213987350367,0,7.011213987350367,0,1,0,3,0.6931471805599453,Gd,6,Typ,1,1,280,N,0,0,205,6,2007,WD,Normal,11.845102777308561,1,1,1,1,1
23,20,RL,4.330733340286331,9.184304357425342,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,7.493317248862145,0,7.493317248862145,0,2,0,3,0.6931471805599453,Gd,7,Typ,1,2,534,Y,171,159,0,9,2008,WD,Normal,12.345834587905333,1,1,1,0,0
24,120,RM,3.8066624897703196,8.348774539791274,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,6.966967138613983,0,6.966967138613983,1,1,0,3,0.6931471805599453,TA,6,Typ,1,2,572,Y,100,110,0,6,2007,WD,Normal,11.77452020265869,1,1,1,0,0
25,20,RL,4.2633832685897595,9.017604776833355,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,6.966967138613983,0,6.966967138613983,1,1,0,3,0.6931471805599453,Gd,6,Typ,1,1,270,Y,406,90,0,5,2010,WD,Normal,11.944707881395766,1,1,1,0,0
26,20,RL,4.709530201312334,9.56317796268366,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,7.3783837129967145,0,7.3783837129967145,0,2,0,3,0.6931471805599453,Gd,7,Typ,1,3,890,Y,0,56,0,7,2009,WD,Normal,12.454103912352162,1,1,1,1,0
27,20,RL,4.110873864173311,8.881975184248867,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,6.803505257608338,0,6.803505257608338,0,1,0,3,0.6931471805599453,Gd,5,Typ,0,2,576,Y,222,32,0,5,2010,WD,Normal,11.811547477460344,1,1,1,0,0
28,20,RL,4.59511985013459,9.348274558065496,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,7.4413203897176174,0,7.4413203897176174,1,2,0,3,0.6931471805599453,Gd,7,Typ,1,3,772,Y,0,50,0,5,2010,WD,Normal,12.631340380934517,1,1,1,1,0
29,20,RL,3.871201010907891,9.700269170029188,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,7.3783837129967145,0,7.3783837129967145,1,1,0,2,0.6931471805599453,TA,6,Typ,2,1,319,Y,288,258,0,12,2006,WD,Normal,12.24288661865289,1,1,1,0,0
30,30,RM,4.110873864173311,8.752265313595721,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,6.255750041753367,0,6.255750041753367,0,1,0,1,0.6931471805599453,Fa,4,Typ,0,1,240,Y,49,0,87,5,2008,WD,Normal,11.134589024250317,1,1,1,0,1
31,70,C (all),3.9318256327243257,9.04793908261736,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,6.476972362889683,668,7.183870715062453,0,1,0,3,0.6931471805599453,TA,6,Typ,0,1,250,N,0,54,172,7,2008,WD,Normal,10.596634733096073,1,1,0,1,0
32,20,RL,4.2633832685897595,9.053101595549691,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,7.113956109566034,0,7.113956109566034,0,1,1,3,0.6931471805599453,Gd,6,Typ,0,1,271,Y,0,65,0,6,2008,WD,Normal,11.914047823644255,1,1,1,1,0
33,20,RL,4.454347296253507,9.3101857069459,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,7.118826249062078,0,7.118826249062078,0,2,0,3,0.6931471805599453,Gd,7,Typ,0,2,484,Y,0,30,0,1,2008,WD,Normal,12.100156419938624,1,1,1,1,0
34,20,RL,4.2626798770413155,9.26416545867109,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,7.438971592395862,0,7.438971592395862,0,1,1,4,0.6931471805599453,Gd,6,Typ,1,2,447,Y,0,38,0,4,2010,WD,Normal,12.016726473799254,1,1,1,1,0
35,120,RL,4.110873864173311,8.897545598709327,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,7.3537223303996315,0,7.3537223303996315,1,2,0,2,0.6931471805599453,Ex,6,Typ,1,2,556,Y,203,47,0,8,2007,WD,Normal,12.533576212168626,1,1,1,0,0
36,60,RL,4.6913478822291435,9.504426892100957,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,7.0326242610280065,1320,7.8050670442584895,0,3,1,4,0.6931471805599453,Gd,9,Typ,1,3,691,Y,113,32,0,9,2006,WD,Normal,12.641096555879882,1,1,0,0,0
37,20,RL,4.727387818712341,9.292841593487926,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,7.001245622069476,0,7.001245622069476,0,1,1,3,0.6931471805599453,TA,6,Typ,0,2,672,Y,392,64,0,6,2009,WD,Normal,11.884489021402711,1,1,1,0,0
38,20,RL,4.31748811353631,9.051696278536586,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,7.168579897264035,0,7.168579897264035,0,1,0,3,0.6931471805599453,TA,5,Typ,1,2,498,Y,0,0,0,10,2009,WD,Normal,11.938193200374572,1,1,1,1,1
39,20,RL,4.23410650459726,8.977525200965243,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,6.964135612418245,0,6.964135612418245,1,1,0,3,0.6931471805599453,Gd,5,Typ,0,1,246,Y,0,52,0,1,2010,WD,Abnorml,11.59910316121128,1,1,1,1,0
40,90,RL,4.189654742026425,8.706324840138741,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0,0,0,0,GasA,TA,N,7.050122520269059,0,7.050122520269059,0,2,0,2,1.0986122886681098,Fa,6,Typ,0,0,0,N,0,0,0,6,2008,WD,AdjLand,11.314474526246391,0,0,1,1,1
41,20,RL,4.442651256490317,9.066354521447801,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,7.1891677384203225,0,7.1891677384203225,0,2,0,3,0.6931471805599453,TA,6,Typ,1,2,440,Y,0,138,0,12,2006,WD,Abnorml,11.982929094215963,1,1,1,1,0
42,20,RL,4.7535901911063645,9.735423867488873,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,7.192182058713246,0,7.192182058713246,0,1,1,2,0.6931471805599453,TA,5,Typ,2,1,308,P,0,104,0,7,2007,WD,Normal,12.043553716032399,1,1,1,1,0
43,85,RL,4.2633832685897595,9.1248914101437,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,6.785587645007929,0,6.785587645007929,1,1,0,2,0.6931471805599453,Gd,5,Typ,0,2,504,Y,240,0,0,12,2007,WD,Normal,11.877568578558138,1,1,1,0,1
44,20,RL,4.2633832685897595,9.127067452782361,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,6.844815479208263,0,6.844815479208263,1,1,0,3,0.6931471805599453,TA,5,Typ,0,1,308,Y,145,0,0,7,2008,WD,Normal,11.777210959615614,1,1,1,0,1
45,20,RL,4.2626798770413155,8.980423936374544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,7.048386408721883,0,7.048386408721883,1,1,0,3,0.6931471805599453,TA,6,Typ,0,1,300,Y,0,0,0,5,2006,WD,Normal,11.856515169360305,1,1,1,1,1
46,120,RL,4.127134385045092,8.943636705909594,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,7.469083884921234,0,7.469083884921234,1,2,0,2,0.6931471805599453,Ex,6,Typ,1,2,576,Y,196,82,0,2,2010,WD,Normal,12.675763725937609,1,1,1,0,0
47,50,RL,3.8918202981106265,9.458995712459116,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,7.325807502595773,631,7.673223121121708,1,1,1,1,0.6931471805599453,Gd,6,Typ,1,2,670,Y,168,43,0,8,2009,WD,Abnorml,12.387085012375499,1,1,0,0,0
48,20,FV,4.442651256490317,9.314430080500564,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1632,1656,GasA,Ex,Y,7.4127640174265625,0,7.4127640174265625,0,2,0,3,0.6931471805599453,Gd,7,Typ,0,3,826,Y,0,146,0,7,2007,WD,Normal,12.428015476267865,1,1,1,1,0
49,190,RM,3.5263605246161616,8.402231172946555,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,736,736,GasA,Gd,Y,6.602587892189336,716,7.2813856635702825,0,2,0,2,1.3862943611198906,TA,8,Typ,0,0,0,N,0,0,102,6,2009,New,Partial,11.635143097694478,0,1,0,1,1
50,20,RL,4.204692619390966,8.954544488386723,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,763,0,192,955,GasA,Ex,Y,6.862757913051401,0,6.862757913051401,1,1,0,3,0.6931471805599453,TA,6,Typ,0,1,386,Y,0,0,0,1,2007,WD,Normal,11.751942365440728,1,1,1,1,1
51,60,RL,4.2633832685897595,9.537483513308878,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,182,0,612,794,GasA,Gd,Y,6.678342114654332,676,7.293697720601438,0,2,0,3,0.6931471805599453,TA,6,Typ,0,2,388,Y,0,75,0,7,2007,WD,Normal,12.083905011555967,1,1,0,1,0
52,50,RM,3.970291913552122,8.738895704934043,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,816,816,GasA,TA,Y,6.705639094860003,0,7.0707241072602764,0,1,0,3,0.6931471805599453,TA,6,Typ,1,2,528,Y,112,0,0,9,2006,WD,Normal,11.648330101976432,1,1,1,0,1
53,90,RM,4.709530201312334,9.044639916198465,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,104,712,0,816,GasA,TA,N,6.705639094860003,0,6.705639094860003,1,1,0,2,0.6931471805599453,TA,5,Typ,0,2,516,Y,106,0,0,5,2010,WD,Normal,11.608235644774552,1,1,1,0,1
54,20,RL,4.23410650459726,10.825203541055348,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,1810,0,32,1842,GasA,Gd,Y,7.519149957669823,0,7.519149957669823,2,0,1,0,0.6931471805599453,Gd,5,Typ,1,3,894,Y,857,72,0,11,2006,WD,Normal,12.86099861326992,1,1,1,0,0
55,80,RL,4.110873864173311,8.872767529910936,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,384,0,0,384,GasA,TA,Y,7.215975002651466,0,7.215975002651466,0,1,0,3,0.6931471805599453,TA,6,Min1,1,2,572,Y,0,50,0,2,2007,WD,Normal,11.77528972943772,1,1,1,1,0
56,20,RL,4.61512051684126,9.227787285579904,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,490,0,935,1425,GasA,Gd,Y,7.262628600974241,0,7.262628600974241,0,2,0,3,0.6931471805599453,TA,7,Typ,1,2,576,Y,0,0,0,7,2008,WD,Normal,12.103486056755072,1,1,1,1,1
57,160,FV,3.2188758248682006,7.880804344674901,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,649,0,321,970,GasA,Ex,Y,6.891625897052253,756,7.461640392208575,1,2,1,3,0.6931471805599453,Gd,7,Typ,0,2,480,Y,115,0,0,8,2009,WD,Abnorml,12.058152515453552,1,1,0,0,1
58,60,RL,4.499809670330265,9.362718052397065,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,860,860,GasA,Ex,Y,6.7580945044277305,860,7.450660796211539,0,2,1,3,0.6931471805599453,Gd,7,Typ,0,2,565,Y,0,70,0,8,2006,WD,Normal,12.188417710291453,1,1,0,1,0
