MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,hasGarage,hasBasement,has2ndFlr,hasWoodDeck,hasOpenPorch
4,3,4.2633832685897595,9.017604776833355,1,0,3,4,19,2,2,0,2,5,7,1968,2001,1,1,9,10,2,0.0,3,2,1,188,668,204,1060,1,0,1,4,6.966967138613983,0,6.966967138613983,1,1,0,3,0.6931471805599453,2,6,6,1,1,270,2,406,90,0,7,4,8,4,1,1,1,0,0
4,3,4.709530201312334,9.56317796268366,1,3,3,0,16,2,2,0,2,8,4,2007,2007,1,1,12,13,3,640.0,2,4,2,0,0,1566,1566,1,0,1,4,7.3783837129967145,0,7.3783837129967145,0,2,0,3,0.6931471805599453,2,7,6,1,3,890,2,0,56,0,9,3,8,4,1,1,1,1,0
4,3,4.110873864173311,8.881975184248867,1,3,3,0,12,2,2,0,2,5,6,1951,2000,1,1,13,14,2,0.0,3,4,1,234,486,180,900,1,4,1,4,6.803505257608338,0,6.803505257608338,0,1,0,3,0.6931471805599453,2,5,6,0,2,576,2,222,32,0,7,4,8,4,1,1,1,0,0
4,3,4.59511985013459,9.348274558065496,1,3,3,4,16,2,2,0,2,8,4,2007,2008,1,1,12,13,3,200.0,2,4,2,1218,0,486,1704,1,0,1,4,7.4413203897176174,0,7.4413203897176174,1,2,0,3,0.6931471805599453,2,7,6,1,3,772,2,0,50,0,7,4,8,4,1,1,1,1,0
4,3,3.871201010907891,9.700269170029188,1,0,3,1,12,2,2,0,2,5,5,1957,1997,1,1,8,8,2,0.0,3,4,1,1277,0,207,1484,1,4,1,4,7.3783837129967145,0,7.3783837129967145,1,1,0,2,0.6931471805599453,3,6,6,2,1,319,2,288,258,0,3,0,8,4,1,1,1,0,0
5,4,4.110873864173311,8.752265313595721,1,0,3,4,3,1,7,0,2,4,5,1927,1950,1,1,8,8,2,0.0,3,4,0,0,0,520,520,1,1,0,4,6.255750041753367,0,6.255750041753367,0,1,0,1,0.6931471805599453,1,4,6,0,1,240,2,49,0,87,7,2,8,4,1,1,1,0,1
10,0,3.9318256327243257,9.04793908261736,1,3,3,4,9,1,2,0,5,4,3,1920,1950,2,1,3,3,2,0.0,3,1,0,0,0,649,649,1,4,0,4,6.476972362889683,668,7.183870715062453,0,1,0,3,0.6931471805599453,3,6,6,0,1,250,0,0,54,172,9,2,8,4,1,1,0,1,0
4,3,4.2633832685897595,9.053101595549691,1,0,3,1,19,2,2,0,2,5,5,1966,2006,1,1,6,6,2,0.0,3,4,1,0,0,1228,1228,1,2,1,4,7.113956109566034,0,7.113956109566034,0,1,1,3,0.6931471805599453,2,6,6,0,1,271,2,0,65,0,8,2,8,4,1,1,1,1,0
4,3,4.454347296253507,9.3101857069459,1,3,3,0,5,2,2,0,2,8,4,2007,2007,1,1,12,13,2,0.0,2,4,2,0,0,1234,1234,1,0,1,4,7.118826249062078,0,7.118826249062078,0,2,0,3,0.6931471805599453,2,7,6,0,2,484,2,0,30,0,0,2,8,4,1,1,1,1,0
4,3,4.2626798770413155,9.26416545867109,1,0,3,4,12,2,2,0,2,5,4,1959,1959,3,1,3,3,2,0.0,3,4,1,1018,0,380,1398,1,2,1,4,7.438971592395862,0,7.438971592395862,0,1,1,4,0.6931471805599453,2,6,6,1,2,447,2,0,38,0,6,4,8,4,1,1,1,1,0
0,3,4.110873864173311,8.897545598709327,1,3,3,4,16,2,2,4,2,9,4,2005,2005,3,1,8,8,1,246.0,0,4,2,1153,0,408,1561,1,0,1,4,7.3537223303996315,0,7.3537223303996315,1,2,0,2,0.6931471805599453,0,6,6,1,2,556,2,203,47,0,10,1,8,4,1,1,1,0,0
9,3,4.6913478822291435,9.504426892100957,1,3,3,4,16,2,2,0,5,8,4,2004,2005,1,1,12,13,3,132.0,2,4,2,0,0,1117,1117,1,0,1,4,7.0326242610280065,1320,7.8050670442584895,0,3,1,4,0.6931471805599453,2,9,6,1,3,691,2,113,32,0,11,0,8,4,1,1,0,0,0
4,3,4.727387818712341,9.292841593487926,1,3,3,0,5,2,2,0,2,5,4,1994,1995,1,1,12,13,2,0.0,3,4,2,0,0,1097,1097,1,0,1,4,7.001245622069476,0,7.001245622069476,0,1,1,3,0.6931471805599453,3,6,6,0,2,672,2,392,64,0,8,3,8,4,1,1,1,0,0
4,3,4.31748811353631,9.051696278536586,1,3,3,4,12,2,2,0,2,5,5,1954,1990,3,1,13,14,1,650.0,3,4,1,1213,0,84,1297,1,2,1,4,7.168579897264035,0,7.168579897264035,0,1,0,3,0.6931471805599453,3,5,6,1,2,498,2,0,0,0,1,3,8,4,1,1,1,1,1
4,3,4.23410650459726,8.977525200965243,1,3,3,4,12,2,2,0,2,5,6,1953,2007,1,1,12,13,2,0.0,3,2,1,731,0,326,1057,1,4,1,4,6.964135612418245,0,6.964135612418245,1,1,0,3,0.6931471805599453,2,5,6,0,1,246,2,0,52,0,0,4,8,0,1,1,1,1,0
14,3,4.189654742026425,8.706324840138741,1,3,3,4,7,2,2,2,2,4,4,1955,1955,1,1,0,10,2,0.0,3,4,2,0,0,0,0,1,4,0,2,7.050122520269059,0,7.050122520269059,0,2,0,2,1.0986122886681098,1,6,6,0,0,0,0,0,0,0,8,2,8,1,0,0,1,1,1
4,3,4.442651256490317,9.066354521447801,1,3,3,4,12,2,2,0,2,6,4,1965,1965,1,1,13,14,1,101.0,3,4,1,643,0,445,1088,1,0,1,4,7.1891677384203225,0,7.1891677384203225,0,2,0,3,0.6931471805599453,3,6,6,1,2,440,2,0,138,0,3,0,8,0,1,1,1,1,0
4,3,4.7535901911063645,9.735423867488873,1,3,3,4,23,2,2,0,2,5,5,1959,1959,1,1,12,13,2,0.0,3,2,1,967,0,383,1350,1,2,1,4,7.192182058713246,0,7.192182058713246,0,1,1,2,0.6931471805599453,3,5,6,2,1,308,1,0,104,0,9,1,8,4,1,1,1,1,0
13,3,4.2633832685897595,9.1248914101437,1,0,3,1,20,2,2,0,6,5,6,1983,1983,1,1,6,6,2,0.0,3,4,1,747,93,0,840,1,2,1,4,6.785587645007929,0,6.785587645007929,1,1,0,2,0.6931471805599453,2,5,6,0,2,504,2,240,0,0,3,1,8,4,1,1,1,0,1
4,3,4.2633832685897595,9.127067452782361,1,0,3,1,5,2,2,0,2,5,5,1975,1980,3,1,12,13,2,0.0,3,4,1,280,491,167,938,1,4,1,4,6.844815479208263,0,6.844815479208263,1,1,0,3,0.6931471805599453,3,5,6,0,1,308,2,145,0,0,9,2,8,4,1,1,1,0,1
4,3,4.2626798770413155,8.980423936374544,1,3,3,4,12,2,2,0,2,5,5,1959,1959,1,1,3,14,2,0.0,3,4,1,179,506,465,1150,1,0,1,0,7.048386408721883,0,7.048386408721883,1,1,0,3,0.6931471805599453,3,6,6,0,1,300,2,0,0,0,7,0,8,4,1,1,1,1,1
0,3,4.127134385045092,8.943636705909594,1,3,3,4,16,2,2,4,2,9,4,2005,2005,3,1,8,8,1,412.0,0,4,2,456,0,1296,1752,1,0,1,4,7.469083884921234,0,7.469083884921234,1,2,0,2,0.6931471805599453,0,6,6,1,2,576,2,196,82,0,4,4,8,4,1,1,1,0,0
8,3,3.8918202981106265,9.458995712459116,1,0,3,1,11,2,2,0,0,7,4,2003,2003,1,1,12,13,2,0.0,2,4,2,1351,0,83,1434,1,0,1,4,7.325807502595773,631,7.673223121121708,1,1,1,1,0.6931471805599453,2,6,6,1,2,670,2,168,43,0,10,3,8,0,1,1,0,0,0
4,1,4.442651256490317,9.314430080500564,1,3,3,4,21,2,2,0,2,8,4,2006,2006,1,1,12,13,2,0.0,2,4,2,24,0,1632,1656,1,0,1,4,7.4127640174265625,0,7.4127640174265625,0,2,0,3,0.6931471805599453,2,7,6,0,3,826,2,0,146,0,9,1,8,4,1,1,1,1,0
3,4,3.5263605246161616,8.402231172946555,1,3,3,4,17,2,2,1,5,4,4,1920,2008,1,1,8,8,2,0.0,3,4,0,0,0,736,736,1,2,1,4,6.602587892189336,716,7.2813856635702825,0,2,0,2,1.3862943611198906,3,8,6,0,0,0,0,0,0,102,8,3,6,5,0,1,0,1,1
4,3,4.204692619390966,8.954544488386723,1,3,3,4,19,2,2,0,2,5,6,1966,1966,1,1,6,6,2,0.0,3,4,1,763,0,192,955,1,0,1,4,6.862757913051401,0,6.862757913051401,1,1,0,3,0.6931471805599453,3,6,6,0,1,386,2,0,0,0,0,1,8,4,1,1,1,1,1
9,3,4.2633832685897595,9.537483513308878,1,1,3,0,8,2,2,0,5,6,5,1997,1997,1,1,12,13,2,0.0,3,4,2,182,0,612,794,1,2,1,4,6.678342114654332,676,7.293697720601438,0,2,0,3,0.6931471805599453,3,6,6,0,2,388,2,0,75,0,9,1,8,4,1,1,0,1,0
8,4,3.970291913552122,8.738895704934043,1,3,3,4,3,2,2,0,0,6,5,1934,1950,1,1,13,14,2,0.0,3,4,2,0,0,816,816,1,4,1,4,6.705639094860003,0,7.0707241072602764,0,1,0,3,0.6931471805599453,3,6,6,1,2,528,2,112,0,0,11,0,8,4,1,1,1,0,1
14,4,4.709530201312334,9.044639916198465,0,1,0,0,9,8,2,2,2,5,4,1963,1963,1,1,13,14,2,0.0,1,4,1,104,712,0,816,1,4,0,4,6.705639094860003,0,6.705639094860003,1,1,0,2,0.6931471805599453,3,5,6,0,2,516,2,106,0,0,7,4,8,4,1,1,1,0,1
4,3,4.23410650459726,10.825203541055348,1,0,2,4,24,2,2,0,2,9,4,1981,1987,1,7,14,15,2,0.0,2,4,1,1810,0,32,1842,1,2,1,4,7.519149957669823,0,7.519149957669823,2,0,1,0,0.6931471805599453,2,5,6,1,3,894,2,857,72,0,2,0,8,4,1,1,1,0,0
12,3,4.110873864173311,8.872767529910936,1,3,0,4,12,2,2,0,7,5,4,1955,1955,1,1,8,8,2,0.0,3,4,1,384,0,0,384,1,4,1,4,7.215975002651466,0,7.215975002651466,0,1,0,3,0.6931471805599453,3,6,2,1,2,572,2,0,50,0,4,1,8,4,1,1,1,1,0
4,3,4.61512051684126,9.227787285579904,1,0,3,4,12,2,2,0,2,6,4,1964,1964,1,1,6,10,1,272.0,3,4,1,490,0,935,1425,1,2,1,4,7.262628600974241,0,7.262628600974241,0,2,0,3,0.6931471805599453,3,7,6,1,2,576,2,0,0,0,9,2,8,4,1,1,1,1,1
1,1,3.2188758248682006,7.880804344674901,1,3,3,4,21,2,2,3,5,8,4,1999,2000,1,1,8,8,1,456.0,2,4,2,649,0,321,970,1,0,1,4,6.891625897052253,756,7.461640392208575,1,2,1,3,0.6931471805599453,2,7,6,0,2,480,2,115,0,0,10,3,8,0,1,1,0,0,1
9,3,4.499809670330265,9.362718052397065,1,0,3,0,5,2,2,0,5,7,4,2004,2004,1,1,12,13,2,0.0,2,4,2,0,0,860,860,1,0,1,4,6.7580945044277305,860,7.450660796211539,0,2,1,3,0.6931471805599453,2,7,6,0,2,565,2,0,70,0,10,0,8,4,1,1,0,1,0
9,3,4.204692619390966,9.52390946537981,1,1,1,1,22,2,2,0,5,1,4,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,0,1410,1410,1,0,1,4,7.2633296174768365,1519,7.988203597022576,0,3,1,3,0.6931471805599453,2,10,6,1,3,641,2,192,0,37,1,0,6,5,1,1,0,0,1
4,3,4.110873864173311,8.881975184248867,1,3,0,4,5,2,2,0,2,5,6,1972,1972,1,1,6,6,2,0.0,3,4,1,632,0,148,780,1,0,1,4,6.660575149839686,0,6.660575149839686,0,1,0,2,0.6931471805599453,3,4,6,0,1,352,2,196,0,0,0,2,8,4,1,1,1,0,1
4,3,4.1588830833596715,9.47830431356186,1,3,3,4,20,5,2,0,2,6,4,2004,2004,1,1,12,13,2,0.0,3,4,2,941,0,217,1158,1,0,1,4,7.055312843339752,0,7.055312843339752,1,1,1,3,0.6931471805599453,2,5,6,0,2,576,2,0,50,0,7,0,6,5,1,1,1,1,0
11,4,4.110873864173311,8.881975184248867,1,3,3,4,9,2,2,0,4,5,6,1920,1996,1,1,8,8,2,0.0,3,4,0,0,0,530,530,1,4,0,4,6.366470447731438,530,7.013915474810528,0,1,0,3,0.6931471805599453,1,6,6,0,1,288,0,0,0,144,5,1,8,4,1,1,0,1,1
0,3,3.8066624897703196,8.770749549138642,1,0,3,4,16,2,2,4,2,8,4,2006,2006,1,1,12,13,3,178.0,2,4,2,24,0,1346,1370,1,0,1,4,7.223295679562314,0,7.223295679562314,0,2,0,2,0.6931471805599453,2,6,6,1,2,484,2,120,49,0,1,1,8,4,1,1,1,0,0
10,4,3.9318256327243257,9.239996256883693,1,0,0,4,17,6,1,0,5,7,5,1921,1950,1,1,11,12,2,0.0,3,4,0,0,0,576,576,1,2,1,4,6.805722553416985,808,7.444833273892193,0,2,0,3,0.6931471805599453,3,9,6,0,2,480,2,12,11,64,6,4,8,4,1,1,0,0,0
9,3,4.2633832685897595,9.145908511816794,1,3,3,4,5,2,2,0,5,7,4,1997,1998,1,1,12,13,1,573.0,3,4,2,739,0,318,1057,1,0,1,4,6.964135612418245,977,7.618251097876695,1,2,1,3,0.6931471805599453,2,8,6,0,2,645,2,576,36,0,4,3,8,4,1,1,0,0,0
9,3,4.343805421853684,9.16868469670735,1,3,3,4,16,2,2,0,5,8,4,2004,2005,1,1,12,13,1,344.0,2,4,2,0,0,1143,1143,1,0,1,4,7.042286171939743,1330,7.813591552952433,0,2,1,4,0.6931471805599453,2,9,6,1,3,852,2,192,151,0,1,1,8,4,1,1,0,0,0
4,3,4.2633832685897595,9.898525260706313,1,3,3,4,12,3,2,0,2,7,4,1970,1989,1,1,9,10,1,287.0,3,4,1,912,0,1035,1947,1,4,1,4,7.699842407396986,0,7.699842407396986,1,2,0,3,0.6931471805599453,3,7,2,1,2,576,2,301,0,0,9,4,8,4,1,1,1,0,1
4,3,4.290459441148391,9.274816391160547,1,0,3,4,5,2,2,0,2,7,4,2003,2003,1,1,12,13,1,167.0,2,4,2,1013,0,440,1453,1,0,1,4,7.299797366758161,0,7.299797366758161,1,2,0,3,0.6931471805599453,2,7,6,0,2,558,2,144,29,0,8,1,8,4,1,1,1,0,0
5,4,3.871201010907891,8.435766192720509,1,3,3,0,17,0,2,0,2,4,5,1945,1950,1,1,8,8,2,0.0,3,2,1,0,0,747,747,1,4,1,4,6.617402977974478,0,6.617402977974478,0,1,0,2,0.6931471805599453,3,4,6,0,1,220,2,0,0,0,8,4,8,4,1,1,1,1,1
8,3,4.406719247264253,9.654641503869545,1,3,3,0,4,2,2,0,0,7,3,1953,1953,1,1,3,0,2,0.0,2,4,1,603,0,701,1304,2,4,1,4,7.173958319756794,983,7.7354333524996886,0,2,0,3,0.6931471805599453,3,7,6,1,2,667,2,0,21,114,9,0,8,4,1,1,0,1,0
4,3,4.564348191467836,9.521641310026597,1,0,3,4,12,2,2,0,2,7,5,1973,1973,1,1,9,10,1,1115.0,3,2,1,1880,0,343,2223,1,0,1,4,7.707062655370473,0,7.707062655370473,1,2,0,3,0.6931471805599453,3,8,6,2,2,516,2,300,0,0,4,1,8,4,1,1,1,0,1
4,3,4.248495242049359,8.935903526274423,1,3,3,0,11,2,2,0,2,4,5,1982,2006,1,1,6,10,2,0.0,3,4,1,565,0,280,845,1,4,1,4,6.740519359606223,0,6.740519359606223,1,1,0,2,0.6931471805599453,3,4,6,0,2,360,2,0,0,0,8,1,8,4,1,1,1,1,1
9,3,4.31748811353631,9.224440496354964,1,0,3,0,8,2,2,0,5,7,4,1998,1998,1,1,12,13,1,40.0,3,4,2,0,0,832,832,1,2,1,4,6.786716950605081,833,7.449498005382849,0,2,1,3,0.6931471805599453,3,7,6,1,2,427,2,0,94,0,3,3,8,4,1,1,0,1,0
4,3,4.454347296253507,9.23024103368252,1,3,3,4,12,2,2,0,2,5,6,1954,2003,1,1,13,14,1,104.0,3,4,1,320,362,404,1086,1,2,1,4,6.99117688712121,0,6.99117688712121,1,1,0,3,0.6931471805599453,3,6,6,0,2,490,2,0,0,0,7,4,8,4,1,1,1,1,1
8,4,4.110873864173311,8.66406026722579,1,3,3,0,17,2,2,0,5,3,5,1915,1950,2,1,12,13,2,0.0,2,2,1,0,0,840,840,1,2,0,4,6.734591659972948,765,7.381501894506707,0,2,0,3,1.0986122886681098,3,8,6,0,1,379,2,0,0,202,7,4,8,4,1,1,0,1,1
2,4,3.091042453358316,7.3758821482150125,1,3,3,4,10,2,2,3,7,4,4,1973,1973,1,1,5,5,2,0.0,3,4,1,462,0,0,462,1,4,1,4,6.267200548541362,462,6.8966943316227125,1,1,0,2,0.6931471805599453,3,5,6,0,1,297,2,120,101,0,2,3,8,4,1,1,0,0,0
4,3,4.2633832685897595,9.04499391938819,1,0,3,4,12,2,2,0,2,4,6,1956,1956,1,1,12,13,2,0.0,3,4,1,228,0,724,952,1,0,1,0,6.859614903654202,0,6.859614903654202,0,1,0,2,0.6931471805599453,3,4,6,0,1,283,2,0,0,0,6,2,8,4,1,1,1,1,1
8,4,3.9318256327243257,9.063694791634697,1,3,3,4,3,2,2,0,0,5,4,1948,2001,1,1,13,14,2,0.0,3,4,1,336,41,295,672,1,4,1,4,6.9782137426306985,213,7.1592919047975645,1,1,0,2,0.6931471805599453,3,6,2,0,1,240,2,0,0,0,0,2,8,4,1,1,0,1,1
14,3,4.290459441148391,9.285355075781629,1,3,3,4,19,2,2,2,2,4,4,1968,1968,3,1,6,6,2,0.0,3,4,1,0,0,1768,1768,1,4,0,4,7.478169694159785,0,7.478169694159785,0,2,0,4,1.0986122886681098,3,8,6,0,0,0,2,0,0,0,6,4,8,4,0,1,1,1,1
8,4,4.110873864173311,9.25349564229011,1,3,3,0,17,2,2,0,5,5,5,1910,1981,1,1,13,14,2,0.0,3,4,2,0,0,440,440,1,2,1,4,6.52649485957079,548,7.115582126184454,0,1,1,2,0.6931471805599453,3,5,6,0,2,440,2,74,0,128,7,3,8,4,1,1,0,0,1
9,3,4.61512051684126,9.472781556562168,1,3,3,0,12,2,2,0,5,6,5,1968,1968,1,1,12,13,1,576.0,3,2,1,448,0,448,896,1,4,1,4,7.075808863978387,960,7.669961995473577,0,2,1,4,0.6931471805599453,2,8,6,1,1,509,2,0,72,0,8,3,8,4,1,1,0,1,0
0,4,3.4965075614664802,8.412054873292933,1,3,3,2,11,2,2,4,2,6,4,1998,1998,3,1,12,13,1,443.0,3,2,2,1201,0,36,1237,1,0,1,4,7.198931240688173,0,7.198931240688173,1,2,0,2,0.6931471805599453,3,5,6,0,2,405,2,0,199,0,5,0,8,4,1,1,1,1,0
